# Package: APBGame
#
# Runtime source: live UPackage::NetObjects @ +0x80
# UObject::NetIndex @ +0x24; validated by NetObjects[index] == UObject*
# GlobalNetIndex = Package.ObjectBase + local index
#
# generated 2026-09-03T22:23:19+03:00
# ObjectBase=33506 ObjectCount=30964 NetObjects.Num=30964 CurrentNumNetObjects=29145 nonNull=29145 mismatches=0
# GenerationNetObjectCount=[30964, 30964]
#
# calibration against direct runtime knowledge:
#   APBGame.cAPBPlayerController expected=12772 actual=12772 OK
#   APBGame.Default__cAPBPlayerController expected=12773 actual=12773 OK
#   APBGame.cAPBVehicle expected=13637 actual=13637 OK
#
# index	name

489	Default__APBSeqEvent_TaskTargetAction_Mugging
490	APBSeqEvent_TaskTargetAction_PlayerArrest
491	Default__APBSeqEvent_TaskTargetAction_PlayerArrest
492	APBSeqEvent_TaskTargetAction_PlayerRescue
493	Default__APBSeqEvent_TaskTargetAction_PlayerRescue
494	APBSeqEvent_TaskTargetAction_RamRaid
495	Default__APBSeqEvent_TaskTargetAction_RamRaid
496	APBSeqEvent_TaskTargetAction_Sabotage
497	Default__APBSeqEvent_TaskTargetAction_Sabotage
498	APBSeqEvent_TaskTargetAction_StopAndSearch
499	Default__APBSeqEvent_TaskTargetAction_StopAndSearch
500	APBSeqEvent_TaskTargetAction_Vandalism
501	Default__APBSeqEvent_TaskTargetAction_Vandalism
502	APBSeqEvent_TestVFX
503	Default__APBSeqEvent_TestVFX
504	rotationSpeed
505	PreBeginPlay
506	Rot
507	DeltaTime
508	Tick
509	APBSpinnyCube
510	Default__APBSpinnyCube
511	m_apStates
512	m_pHelper
513	m_pCurrentState
514	m_apStates
515	EStudioParameterType
516	bIsInGame
517	Init
518	sName
519	SetState
520	ReturnValue
521	ReturnValue
522	GetStates
523	ReturnValue
524	ReturnValue
525	GetStateParameters
526	ReturnValue
527	sName
528	GetParameterType
529	fValue
530	sName
531	SetFloatParameter
532	ReturnValue
533	sName
534	GetFloatParameter
535	fValue
536	sName
537	SetIntParameter
538	ReturnValue
539	sName
540	GetIntParameter
541	fValue
542	sName
543	SetBoolParameter
544	ReturnValue
545	sName
546	GetBoolParameter
547	sValue
548	sName
549	SetStringParameter
550	ReturnValue
551	sName
552	GetStringParameter
553	sName
554	LoadSymbol
555	ClearSymbol
556	APBStudio
557	Default__APBStudio
558	m_apWorkRenderTargets
559	m_pBakingMeshProxy
560	m_pParentBodyMaterial
561	m_pCharacterTextureBaker
562	m_apWorkRenderTargets
563	m_pBodyMaterial
564	m_pHairSkeletalMeshComponent
565	m_pBakingSkeletalMeshComponent
566	m_pSkeletalMeshComponent
567	m_pUVBleedSkeletalMesh
568	m_pGolemMorphSet
569	m_pGolemSkeletalMesh
570	m_pUVBleedMeshBaker
571	m_pMeshBaker
572	m_pDescriptor
573	m_bIsInGame
574	bIsInGame
575	Init
576	pDesc
577	SetGolemDescriptor
578	Done
579	ForceRebuild
580	APBStudioCharacter
581	Default__APBStudioCharacter
582	m_pTextureBaker
583	m_nRenderTargetSize
584	m_SymbolTempRenderTarget
